county_name,District Name,Grade_8_proficient
Keokuk,Keota Comm School District,77.8
Plymouth,Kingsley-Pierson Comm School District,85.7
Marion,Knoxville Comm School District,73.6
Winnebago,Lake Mills Comm School District,75.6
Decatur,Lamoni Comm School District,71.4
Pocahontas,Laurens-Marathon Comm School District,
Woodbury,Lawton-Bronson Comm School District,86.3
Plymouth,Le Mars Comm School District,82.1
Taylor,Lenox Comm School District,87.8
Pottawattamie,Lewis Central Comm School District,84.4
Cedar,North Cedar Comm School District,68.3
Linn,Linn-Mar Comm School District,86.5
Linn,Lisbon Comm School District,83.3
Harrison,Logan-Magnolia Comm School District,79.2
Johnson,Lone Tree Comm School District,45.5
Louisa,Louisa-Muscatine Comm School District,92.2
Jasper,Lynnville-Sully Comm School District,95.1
Boone,Madrid Comm School District,82.7
Mills,East Mills Comm School District,83.3
Calhoun,Manson Northwest Webster Comm School District,71.4
Monona,Maple Valley-Anthon Oto Comm School District,84.6
Jackson,Maquoketa Comm School District,71.8
Delaware,Maquoketa Valley Comm School District,80.9
Cherokee,Marcus-Meriden-Cleghorn Comm School District,
Linn,Marion Independent School District,82.8
Marshall,Marshalltown Comm School District,58.5
Warren,Martensdale-St Marys Comm School District,80.4
Cerro Gordo,Mason City Comm School District,75.6
Sioux,MOC-Floyd Valley Comm School District,92.5
Des Moines,Mediapolis Comm School District,93
Marion,Melcher-Dallas Comm School District,82.6
Jones,Midland Comm School District,73.8
Washington,Mid-Prairie Comm School District,79.3
Harrison,Missouri Valley Comm School District,90.7
Clayton,MFL MarMac Comm School District,84.2
Poweshiek,Montezuma Comm School District,84.2
Jones,Monticello Comm School District,86.4
Appanoose,Moravia Comm School District,82.8
Wayne,Mormon Trail Comm School District,58.8
Louisa,Morning Sun Comm School District,
Appanoose,Moulton-Udell Comm School District,53.8
Ringgold,Mount Ayr Comm School District,90.6
Henry,Mount Pleasant Comm School District,79.1
Linn,Mount Vernon Comm School District,91.8
Clarke,Murray Comm School District,66.7
Muscatine,Muscatine Comm School District,70.7
Chickasaw,Nashua-Plainfield Comm School District,71.7
Story,Nevada Comm School District,85.7
Buena Vista,Newell-Fonda Comm School District,73.2
Chickasaw,New Hampton Comm School District,83.1
Henry,New London Comm School District,62.8
Jasper,Newton Comm School District,71.6
Worth,Central Springs Comm School District,93
Clinton,Northeast Comm School District,96.5
Fayette,North Fayette Valley Comm School District,85.9
Mahaska,North Mahaska Comm School District,71.8
Linn,North Linn Comm School District,94.6
Kossuth,North Kossuth Comm School District,95.2
Polk,North Polk Comm School District,92.9
Scott,North Scott Comm School District,82.7
Tama,North Tama County Comm School District,72.7
Worth,Northwood-Kensett Comm School District,61.1
Warren,Norwalk Comm School District,72.4
Ida,Odebolt Arthur Battle Creek Ida Grove Comm School District,84
Fayette,Oelwein Comm School District,64.9
Boone,Ogden Comm School District,78
Dickinson,Okoboji Comm School District,79.3
Jones,Olin Consolidated School District,
Adair,Orient-Macksburg Comm School District,90
Mitchell,Osage Comm School District,85.3
Mahaska,Oskaloosa Comm School District,80.1
Wapello,Ottumwa Comm School District,67.6
Guthrie,Panorama Comm School District,82.7
Greene,Paton-Churdan Comm School District,88.2
Jasper,PCM Comm School District,88.5
Jefferson,Pekin Comm School District,81
Marion,Pella Comm School District,87.8
Dallas,Perry Comm School District,
Scott,Pleasant Valley Comm School District,93.3
Marion,Pleasantville Comm School District,81.4
Pocahontas,Pocahontas Area Comm School District,75.8
Allamakee,Postville Comm School District,47.6
Montgomery,Red Oak Comm School District,72.1
Plymouth,Remsen-Union Comm School District,81.6
Howard,Riceville Comm School District,78.8
